make,model,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022
Mahindra,Alturas G4,44,42,51,40,80,18,0,27,41,47
Mahindra,Bolero,6491,3218,1755,6375,5442,5314,3506,11045,6924,7686
Mahindra,Marazzo,279,181,70,12,99,2,0,147,279,168
Mahindra,Scorpio,3855,2606,2588,3304,3370,1757,3026,2610,6061,2712
Mahindra,Thar,3203,3493,3134,2692,3181,2138,4646,5072,3893,3152
Mahindra,XUV300,6027,5861,3693,4203,4005,4260,4550,4511,4140,3909
Mahindra,eVerito,0,0,0,0,0,0,12,12,6,1
Mahindra,Bolero Pick up,0,0,0,0,0,0,0,0,0,0
Mahindra,XUV700 5-Seater,0,0,1370,3407,3207,3980,4119,4138,6040,4494
Mahindra,Bolero Neo,0,0,0,0,0,5314,3506,11045,6924,7686
Mahindra,KUV100 NXT,0,0,0,0,0,0,0,0,0,0
Mahindra,XUV700 7-Seater,0,0,1370,3407,3207,3980,4119,4138,6040,4494
Maruti Arena,Alto,12867,13236,12143,17389,13812,11170,12342,11551,7621,10443
Maruti Arena,Dzire,10470,5714,2141,8077,8196,10633,14967,17438,18623,10701
Maruti Arena,Eeco,10057,10666,7844,10320,9571,9167,10528,9190,9221,11154
Maruti Arena,S Presso,6818,7225,2793,4442,3661,5150,6292,8140,7870,6694
Maruti Arena,Swift,18434,12483,2520,9180,14568,15661,19108,19202,13623,8898
Maruti Arena,Vitara Brezza,12676,12906,1874,8032,10760,9531,9576,9256,12439,11764
Maruti Arena,Celerio,2,53,0,1999,5968,5656,8279,9896,6442,7066
Maruti Arena,WagonR,0,0,0,0,0,0,0,14669,24634,17766
Maruti Arena,Ertiga,0,0,0,0,0,0,0,0,0,14889
Maruti Nexa,Ciaz,1450,2146,981,1069,1089,1204,1666,1912,1834,579
Maruti Nexa,Ignis,3797,2053,522,1526,1499,3209,1993,4020,4472,3815
Maruti Nexa,S Cross,1972,2522,1529,1524,1782,1521,2116,1151,2674,2922
Maruti Nexa,Baleno,0,0,0,0,0,0,0,12570,14520,10938
Maruti Nexa,XL6,0,0,0,0,0,0,0,0,0,4366
Tata,Harrier,2666,2743,2821,3097,2607,2234,2702,2619,2491,2785
Tata,Nexon,10287,10006,9211,10096,9831,12899,13816,12259,14315,13471
Tata,Tiago,6794,6558,5121,4040,4998,3675,5195,4489,4002,5062
Tata,Altroz,6980,6175,5772,5128,3025,5009,4525,5011,4727,4266
Tata,Tigor,1636,1673,1304,1377,1785,1994,2952,4091,4007,3803
Tata,Safari,1821,1762,1500,1735,1424,1481,1563,1919,2227,2071
Tata,Nexon EV,0,0,0,0,0,0,0,0,0,0
Tata,Punch,0,0,0,8453,6110,8008,10027,9592,10526,10132
Tata,Tiago NRG,0,0,0,0,0,0,0,0,0,0
Tata,Tigor EV,0,0,0,0,0,0,0,0,0,0
Tata,Yodha Pickup,0,0,0,0,0,0,0,0,0,0
Tata,Nexon EV Max,0,0,0,0,0,0,0,0,0,0
Hyundai,Creta,13000,12597,8193,6455,10300,7609,9869,9606,10532,12651
Hyundai,Elantra,15,20,41,11,0,0,0,0,0,0
Hyundai,i20,6518,7340,5153,4414,4391,3150,6509,5830,4693,4707
Hyundai,Grand i10 Nios,9379,8023,4168,6042,5466,6151,6841,8552,9687,9123
Hyundai,Kona Electric,23,1,1,18,0,10,7,43,2,50
Hyundai,Santro,1949,1731,1798,2877,2141,1298,1252,2393,2494,1793
Hyundai,Tucson,111,117,139,119,108,35,48,172,109,47
Hyundai,Venue,8185,8377,7924,10554,7932,10360,11377,10212,9220,8392
Hyundai,Verna,1827,2098,879,2438,1648,982,1622,1058,1286,781
Hyundai,Xcent Prime,4034,3094,2862,2701,2562,1715,3333,3668,3775,4035
Hyundai,Aura,4034,3094,2862,0,2562,1715,3333,3668,3775,4035
Hyundai,Alcazar,3001,3468,1929,1392,2453,1002,3168,2516,2502,2422
Hyundai,i20 N Line,0,0,0,0,0,0,0,0,0,0
Honda,Amaze,1134,6591,2063,3009,2344,3659,5395,3405,2988,4467
Honda,City,3627,3284,3348,3611,2666,3743,3950,2836,3225,2300
Honda,Jazz,586,630,667,760,327,486,588,457,125,472
Honda,WRV,708,672,687,728,120,85,494,489,251,635
Honda,City 4th Gen,0,0,0,0,0,0,0,0,0,0
Honda,City Hybrid,0,0,0,0,0,0,0,0,0,0
Toyota,Urban Cruiser,2448,2654,816,2100,2850,2359,2590,2387,3079,3524
Toyota,Camry,101,87,59,72,51,1,141,161,120,129
Toyota,Fortuner,1789,2387,1869,1893,1844,1827,811,1848,2984,2022
Toyota,Innova Crysta,6093,5755,4724,6096,6300,3989,2433,4318,7917,6351
Toyota,Vellfire,31,54,52,77,53,23,6,31,0,105
Toyota,Hilux,0,0,0,0,0,0,0,0,0,308
Toyota,Glanza,0,0,0,0,0,0,0,0,2987,2646
Renault,Duster,128,153,275,786,221,56,0,0,0,0
Renault,Triber,2815,3912,2029,2758,1843,2901,2722,2397,3561,2910
Renault,Kiger,3557,2669,2312,2643,2062,2117,3053,2247,2496,2618
Renault,Kwid,0,0,0,0,0,0,0,0,2461,2066
Volkswagen,Polo,1616,1306,799,319,97,762,891,1233,1086,728
Volkswagen,Polo GT,0,0,0,0,0,0,0,0,0,0
Volkswagen,Vento,186,175,161,127,107,70,139,277,175,57
Volkswagen,Taigun,0,0,1461,2551,2841,2828,2432,2388,2380,2631
Volkswagen,Tiguan,0,0,0,0,0,40,61,130,31,131
Skoda,Rapid,793,595,473,165,22,158,0,0,0,0
Skoda,Octavia,219,150,186,219,194,164,166,168,180,147
Skoda,Superb,246,180,210,251,104,16,122,99,180,74
Skoda,Kodiaq,0,0,0,0,0,55,113,67,125,87
Skoda,Kushaq,1822,2904,2158,2413,1876,2840,2608,2307,2499,2413
Skoda,Slavia,0,0,0,0,0,0,0,1862,2665,2431
MG,Hector,3565,3276,2722,2478,1210,1215,2039,2102,2019,1448
MG,Hector Plus,3565,3276,2722,2478,1210,1215,2039,2102,2019,1448
MG,Gloster,363,351,292,260,102,108,143,151,152,83
MG,Astor,0,0,0,0,1018,1125,2068,2275,2248,249
MG,ZS EV Facelift,0,0,0,0,0,0,0,0,0,0
Kia,Seltos,6983,8619,9583,10488,8859,4012,11483,6575,8415,7506
Kia,Carnival,358,379,404,400,636,207,357,283,328,355
Kia,Sonet,7675,7752,4454,5443,4719,3578,6904,6154,6871,5404
Kia,Carens,0,0,0,0,0,0,0,5109,7008,5754
Jeep,Compass Trailhawk,0,0,0,0,0,0,0,0,0,0
Jeep,Wrangler,0,0,0,0,0,0,0,0,0,0
Jeep,Compass,909,1173,1311,1324,1052,916,861,1020,1273,886
Jeep,Meridian,0,0,0,0,0,0,0,0,0,0
Isuzu,V-Cross,0,0,0,0,0,0,0,0,0,0
Isuzu,MUX,0,0,0,0,0,0,0,0,0,0
Isuzu,D-MAX,0,0,0,0,0,0,0,0,0,0
Isuzu,S-CAB,0,0,0,0,0,0,0,0,0,0
Isuzu,Hi-Lander,0,0,0,0,0,0,0,0,0,0
Nissan,GT-R,0,0,0,0,0,0,0,0,0,0
Nissan,Kicks,135,186,371,230,100,130,150,158,65,144
Nissan,Magnite,4073,2984,2330,3389,2292,2653,3827,2059,2942,1966
Datsun,Go,1,3,8,13,0,0,0,0,0,0
Datsun,Go Plus,13,4,29,0,0,0,0,0,0,0
Datsun,redi-go,37,32,78,281,259,227,273,239,0,0
